GeographicCode,FSA,Population,Dwellings,Residents
A0A,A0A,46587,26155,19426
A0B,A0B,19792,13658,8792
A0C,A0C,12587,8010,5606
A0E,A0E,22294,12293,9603
A0G,A0G,35266,21750,15200
A0H,A0H,17804,9928,7651
A0J,A0J,7880,4813,3426
A0K,A0K,26058,15159,11090
A0L,A0L,7643,3769,3178
A0M,A0M,6200,3247,2769
A0N,A0N,13815,8027,6370
A0P,A0P,13721,5123,4677
A0R,A0R,2543,1293,966
A1A,A1A,30382,13545,12663
A1B,A1B,19867,10051,8653
A1C,A1C,12712,7438,6453
A1E,A1E,27115,13704,12553
A1G,A1G,5777,2646,2483
A1H,A1H,5493,2102,1984
A1K,A1K,12253,4646,4438
A1L,A1L,21376,8659,8035
A1M,A1M,8058,3181,2996
A1N,A1N,22957,10381,9605
A1S,A1S,6142,2374,2304
A1V,A1V,11698,5172,4892
A1W,A1W,11209,4549,4269
A1X,A1X,15003,6007,5668
A1Y,A1Y,5669,2627,2321
A2A,A2A,9610,4345,4118
A2B,A2B,4909,2740,2127
A2H,A2H,26092,12628,11227
A2N,A2N,8904,4348,4048
A2V,A2V,7288,3500,2933
A5A,A5A,8111,3830,3284
A8A,A8A,6901,4041,2865
B0C,B0C,2649,1689,1161
B0E,B0E,25881,14997,11258
B0H,B0H,9953,5827,4388
B0J,B0J,39302,23591,17707
B0K,B0K,35895,20689,15775
B0L,B0L,2364,1657,1056
B0M,B0M,16997,9995,7548
B0N,B0N,39559,19157,16644
B0P,B0P,40417,18766,16913
B0R,B0R,5779,3771,2656
B0S,B0S,17212,9892,7954
B0T,B0T,14607,9029,6737
B0V,B0V,5809,3253,2758
B0W,B0W,26951,14465,12029
B1A,B1A,15937,7593,7051
B1B,B1B,1196,643,550
B1C,B1C,1654,859,738
B1E,B1E,1564,729,682
B1G,B1G,1867,898,843
B1H,B1H,9642,4539,4296
B1J,B1J,969,707,479
B1K,B1K,3049,1951,1321
B1L,B1L,4905,2086,2007
B1M,B1M,1130,534,476
B1N,B1N,5705,2640,2465
B1P,B1P,14296,7456,6820
B1R,B1R,4318,1850,1799
B1S,B1S,8548,3832,3541
B1T,B1T,354,315,175
B1V,B1V,6311,2942,2770
B1W,B1W,3422,1114,1059
B1X,B1X,843,593,366
B1Y,B1Y,5885,2836,2535
B2A,B2A,8017,3713,3497
B2C,B2C,290,231,139
B2E,B2E,41,139,26
B2G,B2G,14361,7542,6097
B2H,B2H,14477,7277,6540
B2J,B2J,68,116,35
B2N,B2N,19842,10195,9436
B2R,B2R,2459,1030,981
B2S,B2S,7583,3018,2919
B2T,B2T,16980,6446,6208
B2V,B2V,12230,4725,4643
B2W,B2W,32537,13419,13095
B2X,B2X,11629,4983,4725
B2Y,B2Y,14595,7961,7340
B2Z,B2Z,8258,3291,3158
B3A,B3A,20131,11840,10808
B3B,B3B,1438,584,524
B3E,B3E,6782,2749,2637
B3G,B3G,10593,4263,4142
B3H,B3H,18814,11098,9135
B3J,B3J,5901,4326,3464
B3K,B3K,20591,11773,10448
B3L,B3L,17534,8922,8188
B3M,B3M,32204,16023,15123
B3N,B3N,13604,6983,6495
B3P,B3P,9347,4237,3990
B3R,B3R,8484,4109,3860
B3S,B3S,12895,5872,5734
B3T,B3T,16884,6648,6360
B3V,B3V,5999,2542,2393
B3Z,B3Z,16905,6839,6263
B4A,B4A,17900,7586,7199
B4B,B4B,13028,4485,4347
B4C,B4C,18195,7512,7307
B4E,B4E,18259,7090,6920
B4G,B4G,5055,1851,1803
B4H,B4H,13422,7122,6096
B4N,B4N,17382,8158,7706
B4P,B4P,7784,4290,3482
B4R,B4R,2985,1199,1175
B4V,B4V,20167,9999,9002
B5A,B5A,15479,7929,6969
B6L,B6L,13007,5380,5144
B9A,B9A,4492,2178,1880
C0A,C0A,44095,23867,17692
C0B,C0B,28575,14826,11570
C1A,C1A,24839,12631,11691
C1B,C1B,13203,5549,5128
C1C,C1C,4266,1888,1804
C1E,C1E,11466,4617,4362
C1N,C1N,16463,7741,7225
E1A,E1A,43012,19597,18190
E1B,E1B,19667,8537,8224
E1C,E1C,23686,13424,11680
E1E,E1E,11006,5316,4970
E1G,E1G,22554,8799,8482
E1H,E1H,7421,3344,3203
E1J,E1J,3436,1384,1339
E1N,E1N,11344,5478,4858
E1V,E1V,13544,6364,5909
E1W,E1W,6935,3550,3197
E1X,E1X,14040,6509,5927
E2A,E2A,17205,8966,7913
E2E,E2E,19526,7421,7198
E2G,E2G,5079,1943,1888
E2H,E2H,4700,2004,1884
E2J,E2J,15813,7512,6919
E2K,E2K,17495,8939,7847
E2L,E2L,7566,5203,4212
E2M,E2M,18715,8739,8039
E2N,E2N,4275,1771,1678
E2P,E2P,1391,575,556
E2R,E2R,10,5,5
E2S,E2S,6822,2757,2613
E2V,E2V,14649,6034,5530
E3A,E3A,28167,12655,11979
E3B,E3B,36946,18200,16373
E3C,E3C,11594,4659,4515
E3E,E3E,4600,1726,1688
